timestamp,generated,avg_kvah,consumed,grid,total_consumed_kvah,billed_kvah,solar_kvah,banked_solar_kvah,bill_amount
2023-01-02 11:00:00,39401,2.44,34214,9804,44018,39781,9804,0,394916.88
2023-01-02 12:00:00,39520,3.81,29629,10295,39924,34789,10295,0,273926.08
2023-01-02 13:00:00,39544,3.2,29288,3496,32784,31198,3496,0,201822.46
2023-01-02 14:00:00,41531,3.23,32159,6133,38292,34001,6133,0,295850.52
2023-01-02 15:00:00,42410,2.42,39823,6268,46091,39417,6268,0,318701.44
2023-01-02 16:00:00,40094,2.81,38313,10403,48716,42817,10403,0,342331.47
2023-01-02 17:00:00,42775,2.46,37087,7763,44850,41701,7763,0,350744.03
2023-01-02 18:00:00,41564,3.38,29272,10472,39744,37813,10472,0,266034.37
2023-01-02 19:00:00,43643,2.33,29415,10665,40080,39487,10665,0,347105.34
2023-01-02 20:00:00,37260,2.73,34517,9930,44447,40152,9930,0,353897.14
2023-01-02 21:00:00,40483,3.72,28791,8331,37122,33943,8331,0,207124.96
2023-01-02 22:00:00,38609,2.24,32059,10131,42190,39938,10131,0,349503.5
2023-01-02 23:00:00,35535,2.1,36210,10523,46733,40202,10523,0,326509.3
2023-01-03 00:00:00,38620,3.4,32263,11016,43279,41275,11016,0,393328.58
2023-01-03 01:00:00,38546,3.36,31848,11251,43099,37999,11251,0,287084.61
2023-01-03 02:00:00,35648,3.24,35223,8701,43924,43449,8701,0,327562.74
2023-01-03 03:00:00,42565,2.97,33480,7440,40920,35881,7440,0,254427.26
2023-01-03 04:00:00,38304,3.7,30097,6403,36500,32985,6403,0,214224.87
2023-01-03 05:00:00,40122,2.55,30235,5525,35760,31304,5525,0,238542.93
2023-01-03 06:00:00,43974,3.43,31253,5678,36931,35304,5678,0,218042.5
2023-01-03 07:00:00,44219,2.93,31335,8201,39536,37916,8201,0,342882.67
2023-01-03 08:00:00,42852,3.15,31681,9138,40819,40772,9138,0,259065.95
2023-01-03 09:00:00,41157,2.6,39245,9329,48574,42908,9329,0,315478.45
2023-01-03 10:00:00,37511,2.13,29828,6461,36289,36147,6461,0,270757.53
2023-01-03 11:00:00,43846,3.43,37109,9170,46279,43081,9170,0,269809.86
2023-01-03 12:00:00,39104,3.63,31204,6849,38053,33489,6849,0,329692.16
2023-01-03 13:00:00,38627,2.86,30143,3291,33434,31823,3291,0,197731.1
2023-01-03 14:00:00,38401,2.48,28927,7085,36012,33719,7085,0,271592.48
2023-01-03 15:00:00,37203,2.09,35938,3079,39017,33320,3079,0,212853.93
2023-01-03 16:00:00,38826,3.85,33349,8615,41964,37212,8615,0,273036.05
2023-01-03 17:00:00,43993,3.85,36776,5461,42237,38071,5461,0,341060.31
2023-01-03 18:00:00,44716,2.82,31302,8340,39642,36969,8340,0,305806.4
2023-01-03 19:00:00,35968,2.17,38297,3174,41471,38020,3174,0,236735.74
2023-01-03 20:00:00,35529,3.96,31599,3754,35353,34919,3754,0,343164.51
2023-01-03 21:00:00,37229,3.64,28763,7962,36725,31995,7962,0,259635.44
2023-01-03 22:00:00,43802,3.23,38227,3130,41357,41351,3130,0,275691.06
2023-01-03 23:00:00,36353,2.65,35067,7285,42352,36502,7285,0,249863.33
2023-01-04 00:00:00,39078,3.66,34512,3905,38417,35082,3905,0,214711.19
2023-01-04 01:00:00,44681,3.12,37969,10103,48072,45061,10103,0,366154.98
2023-01-04 02:00:00,36984,2.0,35587,11166,46753,44497,11166,0,415851.22
2023-01-04 03:00:00,35309,2.66,29711,3140,32851,29779,3140,0,248867.16
2023-01-04 04:00:00,37133,3.7,39072,9682,48754,42450,9682,0,332169.48
2023-01-04 05:00:00,43836,3.8,28403,3762,32165,31224,3762,0,300506.9
2023-01-04 06:00:00,43657,3.65,36966,9082,46048,45429,9082,0,394840.74
2023-01-04 07:00:00,36085,2.33,39494,6427,45921,44510,6427,0,433054.24
2023-01-04 08:00:00,39445,2.68,38048,4850,42898,41352,4850,0,408647.35
2023-01-04 09:00:00,43267,2.6,35906,7165,43071,40947,7165,0,398860.29
2023-01-04 10:00:00,36237,2.6,37411,4484,41895,40821,4484,0,296775.35
2023-01-04 11:00:00,43517,2.84,34885,4845,39730,33814,4845,0,290095.03
2023-01-04 12:00:00,37380,2.7,33600,8316,41916,41633,8316,0,353128.09
2023-01-04 13:00:00,43405,2.7,37448,10780,48228,43552,10780,0,332129.24
2023-01-04 14:00:00,43921,2.24,35106,3563,38669,34104,3563,0,316840.44
2023-01-04 15:00:00,43724,2.83,35632,9142,44774,43553,9142,0,328652.79
2023-01-04 16:00:00,36650,3.03,31806,7244,39050,36793,7244,0,283830.86
2023-01-04 17:00:00,35646,3.72,34268,6904,41172,35428,6904,0,343145.3
2023-01-04 18:00:00,36002,3.92,35122,11988,47110,40362,11988,0,369828.79
2023-01-04 19:00:00,35597,3.25,36432,7262,43694,40297,7262,0,285345.78
2023-01-04 20:00:00,37199,2.57,33632,6162,39794,38312,6162,0,309410.72
2023-01-04 21:00:00,37082,2.09,29091,7649,36740,33657,7649,0,321349.6
2023-01-04 22:00:00,36732,3.31,37913,4415,42328,36377,4415,0,267032.15
2023-01-04 23:00:00,35681,2.95,34167,10944,45111,41733,10944,0,354474.62
2023-01-05 00:00:00,35686,3.33,38279,4449,42728,36533,4449,0,239685.17
2023-01-05 01:00:00,36216,3.95,29235,3341,32576,30745,3341,0,282548.14
2023-01-05 02:00:00,42199,2.96,35791,6804,42595,41197,6804,0,296838.96
2023-01-05 03:00:00,42702,3.01,30848,3809,34657,30191,3809,0,269042.65
2023-01-05 04:00:00,40292,3.96,35162,7824,42986,37020,7824,0,234755.24
2023-01-05 05:00:00,43791,3.66,33633,9030,42663,37973,9030,0,329710.48
2023-01-05 06:00:00,43556,3.11,29332,3854,33186,28855,3854,0,199369.11
2023-01-05 07:00:00,39925,2.14,38721,4756,43477,37533,4756,0,262866.33
2023-01-05 08:00:00,44858,2.23,39137,6222,45359,40887,6222,0,299677.09
2023-01-05 09:00:00,37871,3.58,33068,11764,44832,43435,11764,0,374809.95
2023-01-05 10:00:00,40077,3.81,32850,8302,41152,36155,8302,0,229774.7
2023-01-05 11:00:00,39054,2.26,38676,11352,50028,43404,11352,0,368167.15
2023-01-05 12:00:00,44995,3.59,39111,9204,48315,42922,9204,0,405138.09
2023-01-05 13:00:00,42760,2.19,36335,7818,44153,40380,7818,0,297344.19
2023-01-05 14:00:00,38042,3.74,39482,6986,46468,44723,6986,0,333254.33
2023-01-05 15:00:00,41031,3.73,35372,10931,46303,46131,10931,0,389106.93
2023-01-05 16:00:00,38944,3.91,28934,4910,33844,32703,4910,0,265183.42
2023-01-05 17:00:00,44075,2.42,30533,4713,35246,31310,4713,0,197888.83
2023-01-05 18:00:00,36291,2.03,38274,5031,43305,37764,5031,0,324684.5
2023-01-05 19:00:00,37152,2.75,37862,10943,48805,42314,10943,0,310961.53
2023-01-05 20:00:00,43688,2.86,31484,8872,40356,34426,8872,0,210717.05
2023-01-05 21:00:00,41947,3.12,29861,9293,39154,33882,9293,0,248421.9
2023-01-05 22:00:00,36009,2.73,37273,5710,42983,37112,5710,0,317017.41
2023-01-05 23:00:00,38065,3.16,30738,6960,37698,36597,6960,0,337347.31
2023-01-06 00:00:00,38019,3.3,38546,9666,48212,46717,9666,0,298992.69
2023-01-06 01:00:00,38374,2.12,32642,5311,37953,35134,5311,0,214512.93
2023-01-06 02:00:00,36119,3.97,30694,3882,34576,30042,3882,0,187414.98
2023-01-06 03:00:00,37801,3.85,33901,7973,41874,41220,7973,0,296328.3
2023-01-06 04:00:00,39107,2.16,39279,3371,42650,41770,3371,0,302474.31
2023-01-06 05:00:00,42030,3.59,30677,6283,36960,32699,6283,0,224170.81
2023-01-06 06:00:00,35445,2.61,31930,8519,40449,34385,8519,0,295886.84
2023-01-06 07:00:00,44200,3.31,34480,7495,41975,38392,7495,0,376528.4
2023-01-06 08:00:00,42639,2.6,30099,9438,39537,36647,9438,0,325007.15
2023-01-06 09:00:00,38606,3.72,29918,3799,33717,32809,3799,0,227606.09
2023-01-06 10:00:00,40928,3.48,39317,11848,51165,50504,11848,0,494951.71
2023-01-06 11:00:00,37049,2.18,37121,8768,45889,44471,8768,0,383409.84
2023-01-06 12:00:00,42940,2.92,36390,6419,42809,40451,6419,0,245726.89
2023-01-06 13:00:00,37971,3.51,37125,8563,45688,39343,8563,0,329040.68
2023-01-06 14:00:00,42324,2.69,30915,6993,37908,34871,6993,0,270787.23
2023-01-06 15:00:00,40073,3.57,34407,7411,41818,37485,7411,0,360983.82
2023-01-06 16:00:00,35142,3.55,32381,9347,41728,40375,9347,0,330697.77
2023-01-06 17:00:00,40133,3.81,38286,8183,46469,45694,8183,0,293081.63
2023-01-06 18:00:00,37852,2.93,34483,3246,37729,33823,3246,0,294152.4
2023-01-06 19:00:00,42698,3.36,35718,3916,39634,35281,3916,0,325343.95
2023-01-06 20:00:00,41304,2.97,33139,9582,42721,39659,9582,0,377788.94
2023-01-06 21:00:00,43697,2.83,35686,3004,38690,35235,3004,0,241301.87
2023-01-06 22:00:00,36958,2.57,35113,10326,45439,40826,10326,0,246179.97
2023-01-06 23:00:00,36847,3.35,31149,4605,35754,30746,4605,0,284279.47
2023-01-07 00:00:00,43974,2.64,36894,6328,43222,42635,6328,0,298290.11
2023-01-07 01:00:00,44580,3.4,33869,6500,40369,37601,6500,0,360811.12
2023-01-07 02:00:00,42917,2.89,32392,9195,41587,39842,9195,0,353342.61
2023-01-07 03:00:00,39186,3.16,30639,7629,38268,38215,7629,0,318392.67
2023-01-07 04:00:00,39311,3.31,33928,10804,44732,40337,10804,0,380036.81
2023-01-07 05:00:00,36402,2.92,31006,9285,40291,36861,9285,0,260353.81
2023-01-07 06:00:00,41739,2.44,32236,8389,40625,35951,8389,0,217851.81
2023-01-07 07:00:00,39713,2.68,28803,9462,38265,36950,9462,0,288997.44
2023-01-07 08:00:00,42147,2.78,33614,4719,38333,34684,4719,0,339543.85
2023-01-07 09:00:00,44165,3.37,38363,9655,48018,45382,9655,0,399741.65
2023-01-07 10:00:00,35196,2.1,32002,10506,42508,41642,10506,0,268160.15
2023-01-07 11:00:00,37727,2.1,31045,5644,36689,31927,5644,0,202992.08
2023-01-07 12:00:00,39044,2.76,37768,4797,42565,37542,4797,0,342966.53
2023-01-07 13:00:00,38305,3.63,30019,8184,38203,33477,8184,0,324751.82
2023-01-07 14:00:00,37301,2.24,33587,6263,39850,39789,6263,0,293973.32
2023-01-07 15:00:00,35954,2.64,29583,10427,40010,37018,10427,0,351249.51
2023-01-07 16:00:00,40566,2.45,31049,8415,39464,35711,8415,0,311964.83
2023-01-07 17:00:00,37123,2.82,28271,3370,31641,29300,3370,0,236559.64
2023-01-07 18:00:00,42473,2.56,34787,4444,39231,36656,4444,0,238113.75
2023-01-07 19:00:00,37103,2.99,37387,10565,47952,47579,10565,0,333758.44
2023-01-07 20:00:00,40991,3.66,37578,9543,47121,46788,9543,0,398154.75
2023-01-07 21:00:00,43418,2.79,35654,10043,45697,45275,10043,0,381029.33
2023-01-07 22:00:00,39389,3.99,35233,10651,45884,44886,10651,0,288860.94
2023-01-07 23:00:00,40444,3.89,35432,7936,43368,41693,7936,0,335227.78
2023-01-08 00:00:00,42770,2.08,30321,7874,38195,38042,7874,0,248976.56
2023-01-08 01:00:00,37648,3.71,39339,5237,44576,44306,5237,0,431284.49
2023-01-08 02:00:00,39914,3.9,30676,3366,34042,33683,3366,0,247244.91
2023-01-08 03:00:00,36839,2.34,33844,11249,45093,41227,11249,0,250779.73
2023-01-08 04:00:00,36291,2.38,35910,9889,45799,39617,9889,0,321228.47
2023-01-08 05:00:00,40115,2.74,33330,6478,39808,38021,6478,0,351803.59
2023-01-08 06:00:00,43352,3.18,37496,3044,40540,39082,3044,0,249520.65
2023-01-08 07:00:00,42956,3.32,39536,10366,49902,48107,10366,0,402855.97
2023-01-08 08:00:00,38500,3.56,32808,3696,36504,35598,3696,0,257773.97
2023-01-08 09:00:00,37656,3.81,29850,4921,34771,30345,4921,0,270016.93
2023-01-08 10:00:00,41625,3.5,29911,7046,36957,32464,7046,0,308542.54
2023-01-08 11:00:00,39669,2.23,39221,6024,45245,43182,6024,0,401502.53
2023-01-08 12:00:00,41709,2.79,37887,10008,47895,42834,10008,0,386951.31
2023-01-08 13:00:00,38328,3.08,38544,3793,42337,42245,3793,0,298514.74
2023-01-08 14:00:00,44333,2.69,37815,10385,48200,44751,10385,0,321467.31
2023-01-08 15:00:00,37657,3.9,35993,8519,44512,38819,8519,0,372940.57
2023-01-08 16:00:00,35277,2.32,31908,3285,35193,32951,3285,0,315263.12
2023-01-08 17:00:00,40006,3.39,29452,5265,34717,31300,5265,0,238301.96
2023-01-08 18:00:00,37918,3.08,37068,4340,41408,38591,4340,0,363789.65
2023-01-08 19:00:00,36623,2.87,32970,4590,37560,34074,4590,0,295044.69
2023-01-08 20:00:00,39309,3.86,29869,6751,36620,32781,6751,0,214261.35
2023-01-08 21:00:00,44364,3.06,32924,8287,41211,36776,8287,0,338714.46
2023-01-08 22:00:00,42200,3.74,31021,6140,37161,31641,6140,0,228237.55
2023-01-08 23:00:00,35119,2.28,33579,8767,42346,37772,8767,0,346258.88
2023-01-09 00:00:00,43114,2.37,29845,9489,39334,33952,9489,0,213571.13
2023-01-09 01:00:00,40133,2.47,39231,10011,49242,43698,10011,0,352391.08
2023-01-09 02:00:00,39501,3.21,32373,7371,39744,38191,7371,0,252975.63
2023-01-09 03:00:00,37955,3.86,39001,10338,49339,46783,10338,0,307408.17
2023-01-09 04:00:00,41134,3.51,28202,9509,37711,36415,9509,0,266216.79
2023-01-09 05:00:00,40860,3.17,36107,3036,39143,33649,3036,0,238695.57
2023-01-09 06:00:00,38717,2.76,28592,5696,34288,32584,5696,0,286078.63
2023-01-09 07:00:00,43668,2.14,33020,5738,38758,36080,5738,0,224480.46
2023-01-09 08:00:00,41454,3.07,31701,8774,40475,36598,8774,0,259172.42
2023-01-09 09:00:00,43428,3.94,30639,3404,34043,29428,3404,0,239910.16
2023-01-09 10:00:00,42747,3.2,39143,8803,47946,45339,8803,0,282923.79
2023-01-09 11:00:00,41649,3.81,37096,9267,46363,42484,9267,0,287157.87
2023-01-09 12:00:00,44778,3.15,33363,4903,38266,34636,4903,0,265075.94
2023-01-09 13:00:00,36826,3.26,29741,8730,38471,34720,8730,0,264598.5
2023-01-09 14:00:00,41039,2.12,29332,10752,40084,34422,10752,0,323747.48
2023-01-09 15:00:00,39077,3.51,28415,4718,33133,28268,4718,0,230282.69
2023-01-09 16:00:00,40516,3.19,28715,10568,39283,34643,10568,0,231010.48
2023-01-09 17:00:00,37307,2.84,39987,6485,46472,45161,6485,0,369188.78
2023-01-09 18:00:00,36699,3.01,28722,6021,34743,31516,6021,0,310645.06
2023-01-09 19:00:00,42363,2.7,32602,11702,44304,41261,11702,0,366098.67
2023-01-09 20:00:00,44216,2.26,33130,4427,37557,32627,4427,0,264886.43
2023-01-09 21:00:00,43933,3.27,30049,9881,39930,39114,9881,0,309992.5
2023-01-09 22:00:00,37019,2.04,33247,11896,45143,39069,11896,0,312288.82
2023-01-09 23:00:00,38313,3.86,31540,3824,35364,31087,3824,0,248339.8
2023-01-10 00:00:00,36554,3.16,28583,10077,38660,35437,10077,0,234085.02
2023-01-10 01:00:00,42265,3.62,34580,9907,44487,42869,9907,0,329714.72
2023-01-10 02:00:00,37869,3.17,37518,3155,40673,37103,3155,0,275958.09
2023-01-10 03:00:00,35255,2.79,35134,11149,46283,40458,11149,0,365113.03
2023-01-10 04:00:00,39319,2.27,37207,3707,40914,35582,3707,0,224548.62
2023-01-10 05:00:00,37270,2.3,30092,5411,35503,30615,5411,0,225507.88
2023-01-10 06:00:00,39103,2.11,32165,9213,41378,35408,9213,0,350076.79
2023-01-10 07:00:00,42931,3.62,29283,9510,38793,38507,9510,0,276250.56
2023-01-10 08:00:00,39873,2.67,36278,3255,39533,34072,3255,0,304148.08
2023-01-10 09:00:00,40023,2.26,34305,8899,43204,41642,8899,0,340435.13
2023-01-10 10:00:00,37821,3.21,30395,4863,35258,31246,4863,0,305631.48
2023-01-10 11:00:00,35454,2.73,33937,3855,37792,32300,3855,0,217583.03
2023-01-10 12:00:00,44348,2.26,38525,8253,46778,43072,8253,0,290975.92
2023-01-10 13:00:00,41134,2.32,33345,3991,37336,33789,3991,0,251516.08
2023-01-10 14:00:00,36910,2.04,39134,3260,42394,36886,3260,0,359441.6
2023-01-10 15:00:00,43130,2.31,32450,6128,38578,35220,6128,0,272032.26
2023-01-10 16:00:00,40460,2.2,38101,8394,46495,41475,8394,0,268485.74
2023-01-10 17:00:00,35613,2.09,28724,5088,33812,31864,5088,0,206893.21
2023-01-10 18:00:00,40413,2.09,33313,8678,41991,37368,8678,0,252710.25
2023-01-10 19:00:00,43249,2.49,32080,6288,38368,34849,6288,0,325853.21
2023-01-10 20:00:00,39780,2.16,28886,6089,34975,32812,6089,0,294436.62
2023-01-10 21:00:00,41154,2.99,29225,4473,33698,32747,4473,0,283970.64
2023-01-10 22:00:00,39792,2.07,35524,5177,40701,35494,5177,0,297461.4
2023-01-10 23:00:00,35947,3.86,34145,11944,46089,46003,11944,0,444256.3
2023-01-11 00:00:00,40146,2.36,39033,8164,47197,43371,8164,0,261400.27
2023-01-11 01:00:00,41451,3.39,38188,10325,48513,44882,10325,0,359243.12
2023-01-11 02:00:00,43139,2.17,32846,5968,38814,33511,5968,0,329721.64
2023-01-11 03:00:00,38691,2.57,37493,4521,42014,36850,4521,0,357848.44
2023-01-11 04:00:00,41650,3.42,39020,4401,43421,39716,4401,0,240208.98
2023-01-11 05:00:00,41014,2.82,33652,4774,38426,37289,4774,0,341351.43
2023-01-11 06:00:00,40678,2.49,38061,3929,41990,39640,3929,0,309565.76
2023-01-11 07:00:00,36631,2.47,39533,4530,44063,39799,4530,0,343831.75
2023-01-11 08:00:00,40543,3.25,31048,7036,38084,33645,7036,0,281089.52
2023-01-11 09:00:00,39982,3.1,29730,3647,33377,28502,3647,0,212378.82
2023-01-11 10:00:00,40684,2.61,39246,5077,44323,41787,5077,0,292555.11
2023-01-11 11:00:00,37933,2.71,34104,11945,46049,43986,11945,0,427475.92
2023-01-11 12:00:00,36677,3.97,34965,10694,45659,43279,10694,0,284104.38
2023-01-11 13:00:00,40602,3.41,31636,8295,39931,38492,8295,0,379505.75
2023-01-11 14:00:00,44803,2.05,28559,3092,31651,28918,3092,0,281802.17
2023-01-11 15:00:00,36835,3.18,31458,6311,37769,34850,6311,0,233952.36
2023-01-11 16:00:00,37226,3.7,32826,9079,41905,41507,9079,0,344225.26
2023-01-11 17:00:00,40142,3.05,28213,4558,32771,32302,4558,0,240573.15
2023-01-11 18:00:00,39186,2.86,37296,8897,46193,45318,8897,0,281689.51
2023-01-11 19:00:00,43515,2.15,32962,4328,37290,35587,4328,0,258858.7
2023-01-11 20:00:00,43550,3.12,29356,3057,32413,28986,3057,0,205207.55
2023-01-11 21:00:00,40767,2.71,32898,11871,44769,38764,11871,0,358541.31
2023-01-11 22:00:00,44095,2.79,29863,10161,40024,38155,10161,0,328143.1
2023-01-11 23:00:00,37551,2.0,35535,10722,46257,41767,10722,0,270870.39
2023-01-12 00:00:00,42517,3.15,39200,10735,49935,44153,10735,0,342047.51
2023-01-12 01:00:00,36533,3.82,34811,7982,42793,38347,7982,0,338228.22
2023-01-12 02:00:00,37917,2.36,32584,7965,40549,34925,7965,0,209900.0
2023-01-12 03:00:00,42516,3.92,30806,11175,41981,40359,11175,0,330560.15
2023-01-12 04:00:00,43747,3.68,34768,4355,39123,35064,4355,0,350183.93
2023-01-12 05:00:00,40677,3.27,34715,3459,38174,35691,3459,0,322752.1
2023-01-12 06:00:00,40821,3.0,31986,9127,41113,35509,9127,0,316276.77
2023-01-12 07:00:00,40605,2.91,37930,5311,43241,38695,5311,0,280665.44
2023-01-12 08:00:00,43741,2.58,33904,3695,37599,36468,3695,0,255201.33
2023-01-12 09:00:00,41765,2.98,29565,5393,34958,32293,5393,0,305492.48
2023-01-12 10:00:00,43352,3.14,28281,5721,34002,29886,5721,0,285717.99
2023-01-12 11:00:00,42324,3.49,29225,11549,40774,35514,11549,0,242796.55
2023-01-12 12:00:00,41571,3.17,39525,11592,51117,46519,11592,0,412456.77
2023-01-12 13:00:00,37490,2.56,39654,11351,51005,49010,11351,0,449616.18
2023-01-12 14:00:00,36823,2.29,40077,6096,46173,44056,6096,0,405298.95
2023-01-12 15:00:00,40290,3.1,39493,4192,43685,39968,4192,0,243996.32
2023-01-12 16:00:00,38010,2.37,34450,3998,38448,33037,3998,0,306718.01
2023-01-12 17:00:00,43319,2.34,32388,8865,41253,38785,8865,0,360240.92
2023-01-12 18:00:00,44890,3.2,30686,3045,33731,31602,3045,0,208161.57
2023-01-12 19:00:00,38884,3.37,34227,4761,38988,36500,4761,0,232211.53
2023-01-12 20:00:00,39227,2.28,37278,5784,43062,42885,5784,0,343058.72
2023-01-12 21:00:00,40808,2.67,31862,11042,42904,42868,11042,0,370554.67
2023-01-12 22:00:00,40230,2.72,34117,4712,38829,34422,4712,0,306143.59
2023-01-12 23:00:00,43962,3.46,28897,3307,32204,28013,3307,0,194006.32
2023-01-13 00:00:00,45094,3.36,30538,9796,40334,35670,9796,0,293740.53
2023-01-13 01:00:00,40405,3.13,28353,8035,36388,34241,8035,0,223706.96
2023-01-13 02:00:00,41224,3.29,29282,7810,37092,33680,7810,0,313569.39
2023-01-13 03:00:00,44291,2.09,34049,3920,37969,34798,3920,0,231397.26
2023-01-13 04:00:00,40848,2.42,36894,9394,46288,40053,9394,0,398251.56
2023-01-13 05:00:00,42815,3.95,32075,4981,37056,35231,4981,0,276519.04
2023-01-13 06:00:00,39931,3.87,28661,4325,32986,32901,4325,0,281779.36
2023-01-13 07:00:00,39457,3.13,33288,9503,42791,39595,9503,0,393062.58
2023-01-13 08:00:00,44942,3.52,31095,7264,38359,34256,7264,0,325523.97
2023-01-13 09:00:00,43185,2.44,30052,8632,38684,35148,8632,0,285793.62
2023-01-13 10:00:00,35206,2.79,30297,5616,35913,35821,5616,0,287398.73
2023-01-13 11:00:00,38593,3.71,35831,8285,44116,38515,8285,0,286764.0
2023-01-13 12:00:00,36863,3.03,29754,7340,37094,36272,7340,0,301622.95
2023-01-13 13:00:00,37945,3.79,28582,4709,33291,33145,4709,0,221497.96
2023-01-13 14:00:00,39266,2.74,32984,9731,42715,40833,9731,0,332631.34
2023-01-13 15:00:00,42371,3.62,28358,7428,35786,35371,7428,0,214931.23
2023-01-13 16:00:00,43556,2.59,35999,3381,39380,39062,3381,0,237378.55
2023-01-13 17:00:00,36874,3.12,28359,11829,40188,38323,11829,0,295897.46
2023-01-13 18:00:00,41786,2.9,35869,6532,42401,36294,6532,0,289418.06
2023-01-13 19:00:00,45022,2.72,30663,9625,40288,34803,9625,0,302601.55
2023-01-13 20:00:00,37239,2.78,28982,4514,33496,32659,4514,0,233582.61
2023-01-13 21:00:00,35714,2.39,35017,10219,45236,39162,10219,0,324286.03
2023-01-13 22:00:00,37385,3.33,35636,8316,43952,37601,8316,0,293550.72
2023-01-13 23:00:00,37067,2.07,34556,11331,45887,45683,11331,0,373326.07
2023-01-14 00:00:00,40154,3.16,39238,11523,50761,46201,11523,0,422900.53
2023-01-14 01:00:00,36448,2.38,37471,6112,43583,37590,6112,0,295274.21
2023-01-14 02:00:00,42845,3.11,33234,10164,43398,39005,10164,0,302028.67
2023-01-14 03:00:00,39117,3.54,32799,10679,43478,42817,10679,0,354450.23
2023-01-14 04:00:00,43865,2.45,37791,10524,48315,47539,10524,0,331627.54
2023-01-14 05:00:00,37185,3.33,39470,4484,43954,37696,4484,0,242568.13
2023-01-14 06:00:00,35640,2.25,35708,5280,40988,34946,5280,0,317326.48
2023-01-14 07:00:00,44297,2.46,28417,5862,34279,33724,5862,0,256062.57
2023-01-14 08:00:00,42973,3.41,37941,6287,44228,37938,6287,0,350698.74
2023-01-14 09:00:00,36366,3.6,33277,9199,42476,38486,9199,0,235329.89
2023-01-14 10:00:00,43000,2.18,40105,10562,50667,47124,10562,0,420631.26
2023-01-14 11:00:00,44072,2.26,28279,9307,37586,34477,9307,0,298589.08
2023-01-14 12:00:00,42309,3.55,39754,5558,45312,41570,5558,0,329394.52
2023-01-14 13:00:00,42512,2.37,28209,3864,32073,28277,3864,0,239825.71
2023-01-14 14:00:00,43914,3.68,35013,4610,39623,39448,4610,0,290003.96
2023-01-14 15:00:00,38809,3.52,31509,5981,37490,35152,5981,0,332782.98
2023-01-14 16:00:00,38057,3.09,37576,4043,41619,38113,4043,0,318097.62
2023-01-14 17:00:00,35811,2.86,28289,8988,37277,32520,8988,0,223699.23
